borrower_type,household_size,income_month_1,income_month_2,income_month_3,income_month_4,income_month_5,income_month_6,employment_type,months_at_current_job,num_income_sources,upi_transactions_per_month,upi_avg_transaction_amount,upi_months_active,mobile_wallet_used,utility_bills_paid,utility_bills_total,rent_paid_on_time_months,total_rental_months,same_number_since_year,avg_monthly_recharge_amount,recharge_frequency_per_month,ecomm_orders_per_month,ecomm_return_rate,prepaid_orders_ratio,survey_q1,survey_q2,survey_q3,survey_q4,survey_q5,survey_q6,survey_q7,survey_q8,loan_amount_requested,loan_purpose,loan_tenure_months,defaulted
gig,5,17696.73,39169.66,19972.04,23695.89,15358.72,34408.52,salaried-gig,13,4,50.8,1978.6,7.0,0.0,4,17,,,2018.0,582.59,1.35,7.4,0.276,0.7329567889918165,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,297600.0,consumption,8,0
gig,2,39292.01,46898.98,52169.27,16315.93,34085.88,38110.66,salaried-gig,22,4,59.2,1898.95,21.0,1.0,6,11,,,2015.0,483.86,2.41,9.9,0.248,0.5631948771084805,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,187000.0,consumption,12,0
gig,2,10788.14,17159.57,29503.78,12509.58,35276.22,8545.07,salaried-gig,10,3,34.8,1484.29,9.0,1.0,1,10,0.0,16.0,2021.0,548.99,1.3,3.5,0.422,0.4363028486915485,2.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,182200.0,consumption,48,1
gig,5,19958.26,19949.2,21126.62,24502.38,12662.8,23983.62,daily-wage,8,3,4.0,1062.34,9.0,0.0,3,17,,,2023.0,500.4,1.65,3.7,0.334,0.1951256383408637,2.0,2.0,3.0,,1.0,1.0,5.0,2.0,21400.0,medical,32,0
rural,7,13513.3,11407.01,24525.55,11636.0,14765.85,25444.2,seasonal,28,2,48.3,1745.6,21.0,0.0,9,16,5.0,8.0,2018.0,345.91,1.83,9.2,0.366,0.2347756606502804,4.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,341000.0,consumption,34,0
gig,3,10635.58,24480.6,28953.92,27250.13,28465.41,26469.94,salaried-gig,21,3,70.6,1739.09,19.0,0.0,4,11,13.0,20.0,2018.0,629.28,1.92,12.8,0.334,0.2563699959847421,2.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,356800.0,education,35,0
rural,5,14442.16,10603.66,15501.77,12676.97,11466.44,14471.6,self-employed,30,2,,,,,2,6,,,,340.0,1.09,3.2,0.352,0.2263486704374465,4.0,4.0,3.0,3.0,3.0,,3.0,2.0,352700.0,agriculture,18,0
gig,4,20206.71,20641.43,28672.12,13968.23,30271.9,27874.59,self-employed,13,2,50.2,1526.54,16.0,0.0,10,20,3.0,16.0,2018.0,421.37,1.26,3.4,0.308,0.3688937597483676,2.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,42600.0,education,31,0
gig,3,31603.16,46337.45,28264.15,41486.52,25565.98,57035.86,self-employed,32,4,105.5,3234.89,34.0,1.0,16,18,7.0,9.0,2020.0,563.37,2.94,19.1,0.121,0.6179493065899044,3.0,5.0,2.0,5.0,4.0,4.0,2.0,5.0,340100.0,business,57,0
gig,2,23870.59,17259.02,23131.81,31728.53,16485.58,28590.92,salaried-gig,15,2,33.0,1562.77,10.0,1.0,2,6,,,2019.0,556.28,1.2,4.4,0.385,0.570197057267892,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,416100.0,medical,24,0
