model,n,positive_rate,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,tn,fp,fn,tp
logistic_regression,1500,0.15,0.1,0.554,0.7284967320261437,0.248868778280543,0.9777777777777777,0.39675383228133454,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,611,664,5,220
logistic_regression,1500,0.15,0.11,0.5766666666666667,0.7418300653594772,0.25882352941176473,0.9777777777777777,0.40930232558139534,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,645,630,5,220
logistic_regression,1500,0.15,0.12000000000000001,0.588,0.7484967320261438,0.26410564225690275,0.9777777777777777,0.4158790170132325,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,662,613,5,220
logistic_regression,1500,0.15,0.13,0.6013333333333334,0.7563398692810457,0.27060270602706027,0.9777777777777777,0.4238921001926782,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,682,593,5,220
logistic_regression,1500,0.15,0.14,0.61,0.7596078431372549,0.2744360902255639,0.9733333333333334,0.4281524926686217,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,696,579,6,219
logistic_regression,1500,0.15,0.15000000000000002,0.6253333333333333,0.766797385620915,0.2820181112548512,0.9688888888888889,0.43687374749499,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,720,555,7,218
logistic_regression,1500,0.15,0.16,0.6373333333333333,0.7738562091503268,0.28874172185430463,0.9688888888888889,0.4448979591836735,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,738,537,7,218
logistic_regression,1500,0.15,0.17,0.6426666666666667,0.7769934640522875,0.2918340026773762,0.9688888888888889,0.448559670781893,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,746,529,7,218
logistic_regression,1500,0.15,0.18,0.6473333333333333,0.7797385620915033,0.2945945945945946,0.9688888888888889,0.45181347150259066,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,753,522,7,218
logistic_regression,1500,0.15,0.19,0.6506666666666666,0.7780392156862745,0.2954856361149111,0.96,0.45188284518828453,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,760,515,9,216
logistic_regression,1500,0.15,0.2,0.666,0.7870588235294118,0.3050847457627119,0.96,0.4630225080385852,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,783,492,9,216
